,line_text,speaker,temporada,episodio
18387,You know what this is like?  I'll tell you what this is like. This is like when the Freshmen would throw a party and wouldn't let any of the Seniors go.,Michael,Season 4,4x3
18388,Doesn't it just piss you off sometimes that that little twerp got the promotion over us?,Michael,Season 4,4x3
18389,Oh actually I withdrew from consideration.,Jim,Season 4,4x3
18390,Yeah.  I withdrew too.,Michael,Season 4,4x3
18392,Yes!,Dwight,Season 4,4x3
18394,Woo!,Dwight,Season 4,4x3
18396,Reams. Wait. Say it. Say it again.  Announce it again.,Dwight,Season 4,4x3
18398,No no no the first part.,Dwight,Season 4,4x3
18400,Hey.  So. What do you think?  I did it for you.,Dwight,Season 4,4x3
18402,You didn't have to.,Dwight,Season 4,4x3
18405,Hello.,Pam,Season 4,4x3
18407,Um... uh... I'll get back to you.,Pam,Season 4,4x3
18410,Alright who wants to party?,Michael,Season 4,4x3
18412,"Ohhh, what?  Oh I think I faked Oscar out.",Michael,Season 4,4x3
18414,I think I faked Stanley out too.  Who else thought that I was leaving?  And they could all go home early?  Gotcha.  Gotcha.  Gotcha.  Well who needs New York?  Right?  We can have a killer party right here in Scranton.,Michael,Season 4,4x3
18416,Nope nope nope no.  This is going to be nothing like the party you've been planning.  This is going to be good and everybody's gonna come.  What's wrong with Dwight?,Michael,Season 4,4x3
18418,Oh hey!  Good for you.  Good for you.  Scranton power.  Alright you know what?  Angela I'd like you to come into my office in ten minutes. Bring something to write with and something to write on.  Good.,Michael,Season 4,4x3
18419,"This was a pretty disappointing day.  It was kind of a slap in the face to realize that I wasn't as important as I thought I was to a certain young executive who I cared about.  But, you know, I'm not gonna cry over it.  I did that in the car on the way home.",Michael,Season 4,4x3
18420,How we doing on time?,Michael,Season 4,4x3
18422,Good.  These are some things that I would like to have happen.,Michael,Season 4,4x3
18424,Mmmhmm.,Michael,Season 4,4x3
18426,Those are just things.  This is how I want it to feel.,Michael,Season 4,4x3
18428,"I would like this party to be sexier, cooler, more important...",Michael,Season 4,4x3
18430,Yes,Michael,Season 4,4x3
18432,Uh...,Michael,Season 4,4x3
18434,I want it...,Michael,Season 4,4x3
18436,"I want it to embarrass all other parties.  I want it to be a party that the guys in New York watch on the web-cam and say, 'Wow! How did they get Al Roker to come?'",Michael,Season 4,4x3
18438,Yes you can.,Michael,Season 4,4x3
18440,Yes you can.  I know you can.  I wouldn't say that if I didn't hundred percent believe it.  Who else could do this?,Michael,Season 4,4x3
18442,No seriously.  Is there anyone else who could do it better?  Because we don't have a lot of time.  I'll get the pizza!,Michael,Season 4,4x3
18444,I think she's efficient.,Dwight,Season 4,4x3
18446,I hadn't noticed.,Dwight,Season 4,4x3
18448,[impatient sigh],Dwight,Season 4,4x3
18450,I think it's inappropriate to date someone you work with.,Dwight,Season 4,4x3
18452,No.  I think you should date Kelly.,Dwight,Season 4,4x3
18454,"Uh, she works in the annex.  You're also welcome to date Toby.",Dwight,Season 4,4x3
18456,Good news.,Michael,Season 4,4x3
18458,"Guess who just ordered from your favorite pizza place, Alfredo?",Michael,Season 4,4x3
18461,Same thing.,Michael,Season 4,4x3
18464,You know what?  I don't understand when you all talk at the same time.,Michael,Season 4,4x3
18467,Pizza by Alfredo.,Michael,Season 4,4x3
18469,"Okay, okay, what's better?  A medium amount of good pizza?  Or all you can eat of pretty good pizza?",Michael,Season 4,4x3
18471,"[sighs, walks back into office]",Michael,Season 4,4x3
18485,Yup.,Michael,Season 4,4x3
18486,The Pizza by Alfredo guy is here.,Pam,Season 4,4x3
18487,You don't have to say it like that.,Michael,Season 4,4x3
18488,I said it normal.,Pam,Season 4,4x3
18489,Hey,Michael,Season 4,4x3
18491,"Right, I have a coupon, so half of sixty-three fifty, and half the tip of sixty-three fifty.",Michael,Season 4,4x3
18493,"Yeah, I told them on the phone that I was ordering eight pizzas.",Michael,Season 4,4x3
18495,You didn't actually think I was going to spend sixty bucks on pizza?,Michael,Season 4,4x3
18497,"Okay, it doesn't say it anywhere on the coupon, and if it's policy, it should say it on the coupon.",Michael,Season 4,4x3
18499,[sarcastic shrugging of shoulders] What do you mean hmm-um?,Michael,Season 4,4x3
18501,"It is your problem.  That's no way to do business, okay? I ordered eight pizzas with a half-off coupon, so I would like eight pizzas for half-off.  End of story.",Michael,Season 4,4x3
18503,I'm not giving that to you.,Michael,Season 4,4x3
18505,"No, no you're not going anywhere.  You're staying here until we figure this out.",Michael,Season 4,4x3
18507,"You know what?  This young man needs to learn that's not how you treat people.  I don't care if it's pizza.  Good business is about respect and accountability and follow through.  You don't just make promises and pull the rug out from under somebody, do you?  Dwight, please escort this young man into the conference room.  Right now, get in the conference room.",Michael,Season 4,4x3
18509,"Yes you are, yes you are, and you will come out when you decide to give me a discount on the pizza.  Please, thank you.",Michael,Season 4,4x3
18511,"No, you don't even know what stupid is.  It's about to get all stupid up in here.",Michael,Season 4,4x3
18518,I've seen this kid before. He's one the kids who sneaks on my farm and steals my hemp.,Dwight,Season 4,4x3
18520,You ready to give me my discount now?,Michael,Season 4,4x3
18522,"Okay, what have you been doing in here this whole time?",Michael,Season 4,4x3
18524,We're a paper company.  The best paper company in the whole wide world.,Dwight,Season 4,4x3
18525,"Alright, Dwight, knock it off.  You better think about what you are doing young man.",Michael,Season 4,4x3
18527,"No!  I'm an adult, I don't have to think or do anything.  You're a kid, a little snot-nosed, punk kid who thinks he's better than everyone else, because he's some hot shot, and you don't know anything about sales.  So stop being a disrespectful little jerk, okay?",Michael,Season 4,4x3
18529,"Yeah sales, you sell pizza.  Last time I checked that's called sales.",Michael,Season 4,4x3
18531,What did you just call him?,Dwight,Season 4,4x3
18533,What did you say?,Dwight,Season 4,4x3
18535,"Alright stop, stop making him say it!  You just made this worse, a whole lot worse.",Michael,Season 4,4x3
18536,"I can make him talk, Michael.",Dwight,Season 4,4x3
18538,Stop talking all at once!,Michael,Season 4,4x3
18539,You need to let him go.,Jim,Season 4,4x3
18540,Let go of the little jerk boy before he has learned his lesson?,Michael,Season 4,4x3
18541,Yes.,Jim,Season 4,4x3
18542,"You know what Jim, the world would be a better place if people were held accountable for their actions.",Michael,Season 4,4x3
18543,"Yes, but not by kidnapping.",Jim,Season 4,4x3
18544,"I'm not kidnapping him, I'm keeping him until I get what I want.",Michael,Season 4,4x3
18545,As a hostage.,Jim,Season 4,4x3
18546,I think you're over-thinking it.,Michael,Season 4,4x3
18547,I think you're under-thinking it.,Jim,Season 4,4x3
18548,"Yes, is Alfredo there?  Can I speak to a manager then?  Okay, can you tell the manager that I'm keeping his delivery kid until I get a discount on the eight pizzas I ordered.  Yes, I know it is not on the coupon.  Also I would like him to throw in two, three pizzas for our...",Michael,Season 4,4x3
18549,Ransom.,Jim,Season 4,4x3
18550,"Trouble.  Okay, alright.",Michael,Season 4,4x3
18551,What did he say?,Jim,Season 4,4x3
18552,He said no.,Michael,Season 4,4x3
18553,"So, we should let him go.",Jim,Season 4,4x3
18554,"No, no.",Michael,Season 4,4x3
18555,Okay.,Jim,Season 4,4x3
18556,"Listen up kid.  [pops balloon with his hands]  I don't like you, but because some town in Switzerland says so, you have rights.",Dwight,Season 4,4x3
18559,Hey!,Dwight,Season 4,4x3
18561,Michael just called the pizza place with a list of demands.,Jim,Season 4,4x3
18562,"Mister Overdramatic, what's up Kevin?",Michael,Season 4,4x3
18569,"It's just ice, it'll melt all over the floor.",Dwight,Season 4,4x3
18576,"Michael, Ryan wants to introduce the branch managers in a few minutes.  You just have to wave and introduce yourself.",Pam,Season 4,4x3
18577,I'll just wave and introduce myself.,Michael,Season 4,4x3
18578,"Hey, quick question.  If I take a pizza, do you think you could take some sodas and some napkins up to the roof?",Jim,Season 4,4x3
18579,I'm all over it.,Pam,Season 4,4x3
18580,Okay.,Jim,Season 4,4x3
18581,What have we got here?,Jim,Season 4,4x3
18583,"Yeah, cheese, or do we have other flavors?",Jim,Season 4,4x3
18585,Which one's this? Perfect.,Jim,Season 4,4x3
18586,"Do you remember what you said to me on my first day of work, just before you walked me over to my desk?",Jim,Season 4,4x3
18587,"Yeah, enjoy this moment, because you're never going to go back to this time before you met your desk mate Dwight.",Pam,Season 4,4x3
18588,And that's when I knew. You?,Jim,Season 4,4x3
18589,"You came up to my desk, and said, this might sound weird, and there's no reason for me to know this, but that mixed berry yogurt you're about to eat has expired.",Pam,Season 4,4x3
18590,That was the moment that you knew you liked me?,Jim,Season 4,4x3
18591,Yep.,Pam,Season 4,4x3
18592,"Wow, can we make it a different moment?",Jim,Season 4,4x3
18593,Nope.,Pam,Season 4,4x3
18596,"Hey, I just think you should know that one of my salesmen beat your stupid computer, so take that [bleep]hole.",Michael,Season 4,4x3
18605,[smiles],Dwight,Season 4,4x3
18607,[kicks open bathroom door] If you're going number one you've got ten more seconds!,Dwight,Season 4,4x3
18608,"Hey, have you seen Jim?",Michael,Season 4,4x3
18610,Ahh-chaa!,Dwight,Season 4,4x3
18611,"Whoa, whoa, whoa, whoa, what are you doing?",Michael,Season 4,4x3
18612,I'm just scaring him.  The trick is to make him think you're going to do something to him.,Dwight,Season 4,4x3
18614,"Shut up, or I'm going to punch you in the throat!",Dwight,Season 4,4x3
18615,"Hey, hey, hey stop it.  Stop it now, God. Oh my God, oh my God, no, no, no.  I kidnapped a kid.",Michael,Season 4,4x3
18616,"You had to, what other choice did you have?",Dwight,Season 4,4x3
18617,I could have paid for the pizza.,Michael,Season 4,4x3
18618,"Well, yeah.",Dwight,Season 4,4x3
18619,"Oh my God, oh my God.",Michael,Season 4,4x3
18620,This is Michael.,Michael,Season 4,4x3
18622,You're breaking up. I can't hear you.,Michael,Season 4,4x3
18624,"[to Dwight] Mmm-kay.  I want you to go in there, and pay him for the pizzas, and give him a generous tip, no more than ten percent.",Michael,Season 4,4x3
18625,What will you do?,Dwight,Season 4,4x3
18626,I will open the door.,Michael,Season 4,4x3
18627,Yeah.,Dwight,Season 4,4x3
18628,"And hopefully he will walk out, and the rest is out of our hands.",Michael,Season 4,4x3
18629,"So, I'm paying full price?",Dwight,Season 4,4x3
18630,Yes.,Michael,Season 4,4x3
18631,"Here we go, sixty-five.  You know what?  There's two more.",Dwight,Season 4,4x3
18632,"See ya, drive safely.",Michael,Season 4,4x3
18633,[pizza guy flips him off] Okay.,Michael,Season 4,4x3
18634,Now what?,Dwight,Season 4,4x3
18635,"Now we wait, and hopefully nothing happens.",Michael,Season 4,4x3
18636,"Alright.  Oh, I assume I'm going to be reimbursed for the pizzas.",Dwight,Season 4,4x3
18637,"Not now Dwight, please, it's not the time.",Michael,Season 4,4x3
18638,"A toast, better make it good.  To avoiding a class two felony charge.",Jim,Season 4,4x3
18639,Ah-ha.,Pam,Season 4,4x3
18648,What a horrible day.,Michael,Season 4,4x3
18649,Blah.,Dwight,Season 4,4x3
18650,Bluh.,Michael,Season 4,4x3
18651,Uhh.,Dwight,Season 4,4x3
18652,"Well, I need to get the horrible taste of this pizza out of my mouth.  I'd really like some sushi.  I was hoping that I would have New York style sushi today.  And you know what?",Michael,Season 4,4x3
18653,What?,Dwight,Season 4,4x3
18654,I'm going to get it.,Michael,Season 4,4x3
18655,Coopers has calamari.,Dwight,Season 4,4x3
18656,"Uh-uh, no, there is only one place where they authentic New York style sushi.",Michael,Season 4,4x3
18657,Tokyo?,Dwight,Season 4,4x3
18658,New York.  Wanna go?,Michael,Season 4,4x3
18659,Yes.,Dwight,Season 4,4x3
18660,"Alright, you drive.",Michael,Season 4,4x3
18661,Okay.,Dwight,Season 4,4x3
18662,Nice.,Dwight,Season 4,4x3
18663,Here we go.,Michael,Season 4,4x3
18664,Woo-hoo.,Dwight,Season 4,4x3
18665,Mmm.,Michael,Season 4,4x3
18666,Yum.,Dwight,Season 4,4x3
18668,"Hey, you know what? [Michael and Dwight grab plates of sushi] Come on, come on, let's go.",Michael,Season 4,4x3
18670,Guilty.,Michael,Season 4,4x3
18672,"Oh, thanks.  This is the guy that beat the computer.",Michael,Season 4,4x3
18674,Yeah.,Michael,Season 4,4x3
18676,Later on.,Dwight,Season 4,4x3
18677,"[mocking Ryan] I'm Ryan, and tonight didn't go the way that I thought it would, because it didn't work out for me, and I'm very embarrassed.  I got egg all over my face.",Michael,Season 4,4x3
18678,And I spent so much time in Scranton and I never sold any paper.,Dwight,Season 4,4x3
18679,"I never sold any paper, because I'm an idiot.",Michael,Season 4,4x3
18680,I started a fire with my cheese pita.,Dwight,Season 4,4x3
18681,I made it with my cheese pita.,Michael,Season 4,4x3
18682,I date Indian girls.,Dwight,Season 4,4x3
18683,"I started a fire, I started a fire.",Michael,Season 4,4x3
18684,"Now I've got a beard, and I can do whatever I want, and I'm your boss.",Dwight,Season 4,4x3
18685,"And I'm hot, I'm so hot. That's why everybody...",Michael,Season 4,4x3
18686,"I don't get that, I don't understand that.",Dwight,Season 4,4x3
18687,"Well, it's part of it, it's just the... uhhh.",Michael,Season 4,4x3
18688,Wanna head back?,Michael,Season 4,4x3
18689,"Yeah, let's go.",Dwight,Season 4,4x3
18691,[Dwight come into office unshaven]  What?,Dwight,Season 4,4x3
18692,Well it's just that you had no hair on Friday.,Jim,Season 4,4x3
18693,It's called being a man.  You should try it sometime.,Dwight,Season 4,4x3
18694,How long have you been a man?,Jim,Season 4,4x3
18695,"I was born a man, Halpert.",Dwight,Season 4,4x3
18696,That must have been extremely uncomfortable for your mom.,Jim,Season 4,4x3
18697,"I stopped shaving because my girlfriend broke up with me.  Am I in pain?  Hell, yeah.  But I'll tell you something, I thrive in pain.  I love pain.  To me, pain is not pain at all.  No.  It is pure pleasure.  And I hate pleasure.  Almost as much as I love pain.  So, yeah, I'm in pain.",Dwight,Season 4,4x3
18700,What's wrong with me?,Michael,Season 4,4x3
18701,Excuse me?,Pam,Season 4,4x3
18702,"I want you to look at me and tell me what is wrong with me. [Pam stares and nods]  Don't avoid this.  I know you're dying to say it, so just say it.",Michael,Season 4,4x3
18703,Sometimes your laziness borders on incompetence.,Pam,Season 4,4x3
18704,"What, no.  No.  Okay, bags.  I have bags under my eyes, Pam.  I didn't see it at home, I didn't see it in the bathroom, I didn't see it on any of the city mirrors, but in this light...",Michael,Season 4,4x3
18705,"[interrupting] The city mirrors, or the...?",Pam,Season 4,4x3
18706,"The big, free mirrors that the city puts up, on trees and telephone poles?  The big round things.",Michael,Season 4,4x3
18707,The ones for drivers to check their blind spots?,Pam,Season 4,4x3
18708,"Yes.  I have bags under my eyes, and I can't go to New York like this!  What do I do?  What do I do?",Michael,Season 4,4x3
18709,Put cold tea bags on your eyes.,Pam,Season 4,4x3
18710,Really?,Michael,Season 4,4x3
18711,Yeah.,Pam,Season 4,4x3
18712,That's it?,Michael,Season 4,4x3
18713,Mmhmm.,Pam,Season 4,4x3
18714,All right!  Martha Stewart!  You can be Martha Stewart's receptionist!  Very good!  I will be tea baggin' it.  Nn... no.,Michael,Season 4,4x3
18715,"[tea bags on eyes] Do I feel badly, that nobody out there was invited to a party that I was invited to?  Not at all.  Because they have to know that if they work hard and apply themselves, someday, they could be invited to a party like this.  Of course, at that point, I will be going to much better parties that they will not be able to get into.  What are you gonna do?",Michael,Season 4,4x3
18726,"Hey.  The way I see it, it's getting late, and the only thing standing between you and a warm bed is my friend's pizza discount.  So whattaya say?  [pizza guy stares]  Oh, so that's how it's gonna be.  Well, I can stay here all night if I have to.  I've done it before.",Dwight,Season 4,4x3
18743,Coat! [throws coat at Pam],Michael,Season 4,4x4
18744,"Michael just rented The Devil Wears Prada. He has his NetFlix sent here to the office, and he watches them in pieces when things are slow.",Pam,Season 4,4x4
18745,Steak! Where's my steeaaak?,Michael,Season 4,4x4
18746,"He's a big Meryl Streep fan, so I shouldn't be surprised that he's identified with her character.",Pam,Season 4,4x4
18747,Get me Armani.,Michael,Season 4,4x4
18748,A suit?,Pam,Season 4,4x4
18749,On the phone.,Michael,Season 4,4x4
18750,Like the main company number? Because I'm gonna have to call information.,Pam,Season 4,4x4
18751,Where's Armani? He's on the phone. Too slow. You are not going to Paris. I'm so much better than you are. [breaks into laughter],Michael,Season 4,4x4
18752,I owe you an apology.,Michael,Season 4,4x4
18753,You finished the movie.,Pam,Season 4,4x4
18754,Yeah. It was awesome. Big surprise ending. Won't ruin it for you.,Michael,Season 4,4x4
18755,No. Go ahead.,Pam,Season 4,4x4
18756,"Meryl Streep is the bad guy. Never see it coming. Anyways, if I was mean in any way to you, I am sorry. I just want what's best for you, Mo Chuisle.",Michael,Season 4,4x4
18757,Mo Chuisle. He's watching Million Dollar Baby... He's gonna try to kill me.,Pam,Season 4,4x4
18758,So this one goes with my eyes and this one goes with your eyes. People have said I have very pretty eyes.,Michael,Season 4,4x4
18760,I haven't heard the same about you. So let's just go with mine.,Michael,Season 4,4x4
18762,We already have a sofa. So why do---,Michael,Season 4,4x4
18764,It... folds up. You've only seen it flat.,Michael,Season 4,4x4
18766,I--- Ok. How much is this going to cost?,Michael,Season 4,4x4
18768,No--- don't... that doesn't even mean anything.,Michael,Season 4,4x4
18770,"Yes. Money has been a little tight lately. But, at the end of my life, when I'm sitting on my yacht, am I gonna be thinking about how much money I have? No. I'm going to be thinking about how many friends I have, and my children, and my comedy albums. I mean, I have a yacht, so I obviously did pretty well money wise.",Michael,Season 4,4x4
18771,It's just that you say it's gonna cost what it costs--- [phone rings],Michael,Season 4,4x4
18772,"[on the phone] Michael, it's Ryan for you.",Pam,Season 4,4x4
18774,"Put him through. Yes. Ryan, my man!",Michael,Season 4,4x4
18776,"Yes, and thank you for sending that to me.",Michael,Season 4,4x4
18778,"Okay, yeah, I dunno. I dunno, I think those IT guys messed up.",Michael,Season 4,4x4
18780,"[looking at nothing] Wait, oh, no, here it is, here it is. Found it.",Michael,Season 4,4x4
18781,"[talking on phone] Sure, I can hold.",Jim,Season 4,4x4
18782,"[picks up phone]  Dunder Mifflin, Dwight Schrute. Please hold. [opens book, then picks up phone] Schrute Farms, guten tag. How can I help you? Yes, we have availability on those nights. How many in your party? Oh no, I'm sorry, no king beds. No queen either. Well, we make our own mattresses that don't conform to the traditional sizes. Closest would be twin. Thank you so much for calling. Call back again. Aufedersein!",Dwight,Season 4,4x4
18783,Hey Dwight.,Jim,Season 4,4x4
18784,"None of your business, Jim.",Dwight,Season 4,4x4
18785,Do you run the bed and breakfest?,Jim,Season 4,4x4
18786,It is not a B and B.,Dwight,Season 4,4x4
18787,"Agrotourism is a lot more than a bed and breakfest. It consists of tourists coming to a farm, showing them around, giving them a bed, giving them brekafest.",Dwight,Season 4,4x4
18788,Does the Department of Health know about this?,Jim,Season 4,4x4
18789,"I'm not telling you anything. [lookings into the camera] Permits are pending. [phone rings] Dwight Schrute, Dunder Mifflin.",Dwight,Season 4,4x4
18790,"Hello, I'm looking for a room.",Pam,Season 4,4x4
18791,"Okay, this is a mis-use of company phones.",Dwight,Season 4,4x4
18792,It says here you cater to the eldery.,Pam,Season 4,4x4
18793,Where did you read that?,Dwight,Season 4,4x4
18794,Trip Advsior.,Pam,Season 4,4x4
18795,"Trip Advisor is the life blood of the Agrotourism industry. A couple of bad reviews there, you might as well close up shop. That's what took down the Stalk Inn. One of the cutest little asparagus farms you'll ever see.",Dwight,Season 4,4x4
18796,How many in your party?,Dwight,Season 4,4x4
18797,Two?,Pam,Season 4,4x4
18798,"We offer tours of the fields, and of the barn. Uh, perhaps you'll be interested in, um, Mose's table making demonstration?",Dwight,Season 4,4x4
18800,"Oh! Um, actually, I need the car.",Michael,Season 4,4x4
18802,"Use to have two cars, traded 'em in, now we're down to one. Good economic sense. Although the new car is a Porsche. For her.",Michael,Season 4,4x4
18803,"One cardigan, one sleeping cardigan and one sleep apnea mask.",Dwight,Season 4,4x4
18805,You took that with you.,Dwight,Season 4,4x4
18807,"You are incorrect. I was recently scrubbing my room of memories, and I didn't see it there.",Dwight,Season 4,4x4
18809,"My girlfriend and I broke up recently. And I must say, I am relieved. Gives me a chance to sow my wild oats. In the Schrute family, we have a tradition, where when the male has sex with another woman, he is rewarded with a bag of wild oats left on his door step by his parents. You can use these oats to make oatmeal, bread, whatever you want. I don't care, they're your oats.",Dwight,Season 4,4x4
18811,"You can not, I have a thing tonight.",Michael,Season 4,4x4
18813,"Uh, Michael.",Jim,Season 4,4x4
18814,What?,Michael,Season 4,4x4
18815,"That reminds me, uh, if the invitation still stands, Pam and I would love to have dinner tonight.",Jim,Season 4,4x4
18816,"Oh no, I have a thing tonight.",Michael,Season 4,4x4
18817,Darn it!,Jim,Season 4,4x4
18818,Shoot!,Pam,Season 4,4x4
18819,How about this weekend?,Michael,Season 4,4x4
18820,"No, can't.",Jim,Season 4,4x4
18821,"We only had tonight free, and we really wanted to spend it with you.",Pam,Season 4,4x4
18822,"Dammit to hell. I-I-ugh, ok. All right.",Michael,Season 4,4x4
18823,Where are you going out tonight?,Jim,Season 4,4x4
18824,You wouldn't understand. It's a secret.,Michael,Season 4,4x4
18825,I wouldn't understand or a secret?,Jim,Season 4,4x4
18826,"You wouldn't understand, Jim. It's a secret.",Pam,Season 4,4x4
18827,"I'm sorry Mr. O'Brian, I didn't mean to interrupt your dinner. I just have a very exciting offer. My records indicate that you have expressed interest in losing some weight. Well, what if I told you that I have a pill that will make you 50 pounds lighter in 5 minutes? How does that sound? Amazing right? Well, it won't be that fast, but it will--[notices camera]-- it will be that easy.",Michael,Season 4,4x4
18828,"I can't believe this place is real. I mean, I've heard about his beet farm for years, but wow.",Jim,Season 4,4x4
18829,The Beets Motel.,Pam,Season 4,4x4
18830,"The Beets Motel? That is, wow.",Jim,Season 4,4x4
18831,Thank you. Eh. The Embassy Beets. Radishon!,Pam,Season 4,4x4
18832,How are you doing this?,Jim,Season 4,4x4
18833,I don't know! [Mose starts running by the left side of the car],Pam,Season 4,4x4
18834,Oh my gosh.,Pam,Season 4,4x4
18835,"I just love sales. I love it to death. It's as simple as that. And I don't get to do it enough as a manager, so I took this second job. I count it as a hobby. Some people have golf, or relaxing.",Michael,Season 4,4x4
18837,"Hey, I just got off the phone, and I was gonna make another call.",Michael,Season 4,4x4
18839,"No, they're with me, so... this is Nick Figaro, manager to the stars!",Michael,Season 4,4x4
18840,"We have three rooms, each with a different theme.",Dwight,Season 4,4x4
18841,What are the themes?,Pam,Season 4,4x4
18842,"American, Irrigation, and Night-Time.",Dwight,Season 4,4x4
18843,Irrigation.,Pam,Season 4,4x4
18844,Nice.,Jim,Season 4,4x4
18845,"I'll put you down for Irrigation. Well then, do you have any special needs or diertary restrictions?",Dwight,Season 4,4x4
18846,Yes. We will be requiring a bed time story.,Jim,Season 4,4x4
18847,No.,Dwight,Season 4,4x4
18848,Not even Harry Potter?,Jim,Season 4,4x4
18849,"No. Jim, come on.",Dwight,Season 4,4x4
18851,"Mose, bags! Now!",Dwight,Season 4,4x4
18852,"Here we are, the Irrigation Room! A very special room. So I'll come get you before the table-making demonstration. And as of this morning, we are completely wireless here in Schrute Farms. But as soon as I find out where Mose hid all the wires, we'll get that power back on. All righty.",Dwight,Season 4,4x4
18854,These meetings are useless.,Michael,Season 4,4x4
18856,Very inspirational. [laughter],Michael,Season 4,4x4
18859,Or a trained seal. [laughter],Michael,Season 4,4x4
18861,"Hmmm, I'd say 1 in 6.",Jim,Season 4,4x4
18862,What?,Pam,Season 4,4x4
18863,"Oh, I thought you asked me what our chances were in being murdered here tonight.",Jim,Season 4,4x4
18864,"You know, I've just realized, this is Pam's and my first night away together. I use to play it over my head, and it was just a little bit different. Maybe a uh, nice hotel. Or a romantic dinner. Wine... uh but, wine that wasn't made out of beets. Didn't think Dwight would be involved at all. And uh, I always imagined less manure. I mean, some manure, just... less.",Jim,Season 4,4x4
18865,"Mose, what are you doing? No Mose! Put the--- Put the manure down! Put it down! Do not throw it! DO NOT THROW IT! Ow!",Dwight,Season 4,4x4
18866,"Yes, is Mr. Hudson there?",Michael,Season 4,4x4
18868,I'm just calling because you responded positively to the---,Michael,Season 4,4x4
18870,...Stanley?,Michael,Season 4,4x4
18872,"[Spanish accent] Senor, are you happy with your---",Michael,Season 4,4x4
18874,[speaking with a different voice] Have you--- Have you considered satellite television?,Michael,Season 4,4x4
18877,Well your son sounds like he's really motivated. I think it's crazy the coach won't play him frankly.,Michael,Season 4,4x4
18879,You bet.,Michael,Season 4,4x4
18881,"Look, I know sales, and I had that sale, I just needed a few more minutes---",Michael,Season 4,4x4
18883,It is not a waste of our time.,Michael,Season 4,4x4
18885,No.,Michael,Season 4,4x4
18887,Vikram doesn't have my people skills.,Michael,Season 4,4x4
18889,"Well, I hope this conversation has helped.",Michael,Season 4,4x4
18890,"[reading to Jim, Pam, and Mose] And Harry saw the white hand raise its wand, and felt Voldemort's surge of vicious anger. Saw the frail old man on the floor write in agony. 'Harry?' It was over quickly as it had come. Harry stood shaking in the darkness, clutching the gate in the garden, his heart racing.",Dwight,Season 4,4x4
18891,What did you get tonight?,Michael,Season 4,4x4
18893,"Oh, that looks good.",Michael,Season 4,4x4
18895,I am going with the vanilla crisp this evening.,Michael,Season 4,4x4
18897,Thank you.,Michael,Season 4,4x4
18899,Really?,Michael,Season 4,4x4
18901,Wonder what I would've been back home?,Michael,Season 4,4x4
18903,"I know, but it's competitive here. What's a dollar worth in your land? Medical school must cost like 40 bucks or a donkey or something.",Michael,Season 4,4x4
18905,I would've been chief of surgery... Or a cowboy.,Michael,Season 4,4x4
18906,"[Jim and Pam hear noise] Wait, you're going up there?",Jim,Season 4,4x4
18907,Yeah. Coward.,Pam,Season 4,4x4
18908,[Pam sees Mose in an outhouse] Oh my God. What century is this?,Pam,Season 4,4x4
18909,"You know what, here's the thing about Die Hard 4. Die Hard one, the original, John McClane was just this normal guy. You know, he's just a normal New York City cop, who gets his feet cut, and gets beat up. But he's an everyday guy. In Die Hard 4, he is jumping a motorcycle into a helicopter. In air. You know? He's invincible. It just sort of lost what Die Hard was. It's not Terminator.",Michael,Season 4,4x4
18911,I actually wrote a movie.,Michael,Season 4,4x4
18913,"I'm writing one, yeah.",Michael,Season 4,4x4
18915,"Um, sort of a spy, thriller...",Michael,Season 4,4x4
18917,"[Pam and Jim hear Dwight crying] Ugh, your turn.",Pam,Season 4,4x4
18918,"[Jim knocks on Dwight's door, crying stops] Come in. Did you have another nightmare?",Dwight,Season 4,4x4
18919,Hey Dwight.,Jim,Season 4,4x4
18920,"Oh, Jim. I thought you were Mose.",Dwight,Season 4,4x4
18921,Does Mose have nightmares?,Jim,Season 4,4x4
18922,Oh yes. Ever since the storm.,Jim,Season 4,4x4
18923,Is everything satisfactory with your stay?,Dwight,Season 4,4x4
18924,"Yeah, yeah.",Jim,Season 4,4x4
18925,Great.,Dwight,Season 4,4x4
18926,"Just thought that I heard crying, moaning, or something in here.",Jim,Season 4,4x4
18927,Oh. Well I'll look into that in the morning. Thank you for bringing that to the attention of the staff.,Dwight,Season 4,4x4
18928,"Good night, Dwight. [Jim leaves, Dwight continues crying]",Jim,Season 4,4x4
18931,"Thanks, no, I have work tomorrow morning.",Michael,Season 4,4x4
18933,"Okay, see you guys. [Sees Jan] Hey, how you doin'?",Michael,Season 4,4x4
18935,Okay. How's yoga?,Michael,Season 4,4x4
18937,Wh-Why not?,Michael,Season 4,4x4
18939,Okay.,Michael,Season 4,4x4
18941,Good night Vikram.,Michael,Season 4,4x4
18943,"Hey, congrats on the bonus.",Michael,Season 4,4x4
18945,I'm gonna have it one of these nights.,Michael,Season 4,4x4
18947,Good night.,Michael,Season 4,4x4
18949,"Michael. Morning. Hey Dwight, how are you?",Pam,Season 4,4x4
18950,Pam.,Dwight,Season 4,4x4
18951,You okay?,Jim,Season 4,4x4
18952,I am better than you have ever been or ever will be. [Ryan walks in],Dwight,Season 4,4x4
18955,Um... that wasn't much of an introduction.,Michael,Season 4,4x4
